"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2009. 12",187.3,361.5,148.1,550.6,705.3,463.7,863.0,488.6,514.8,182.2,161.2,275.9,124.5,185.0,174.4,-,312.7,111.3,125.8,144.2,121.7,102.6,120.0,159.0,135.0
"2010. 01",198.6,377.4,153.7,566.8,697.6,472.6,908.5,501.5,529.6,189.6,163.5,282.5,126.9,188.9,181.1,-,320.2,115.7,135.5,148.6,128.3,108.4,117.7,167.3,144.1
"2010. 02",190.6,350.6,150.7,526.2,713.9,470.7,816.7,484.2,501.1,192.7,160.5,282.3,126.0,183.9,182.4,-,308.4,112.4,127.9,144.6,129.6,106.8,114.4,162.1,141.3
"2010. 03",183.9,332.3,150.5,508.5,673.1,462.3,775.0,482.6,484.8,186.0,159.6,271.9,123.7,180.8,183.1,-,295.6,112.2,125.7,141.5,129.4,104.8,113.5,162.1,144.9
"2010. 04",176.6,319.0,148.5,486.8,653.3,439.5,800.5,480.2,464.9,186.4,156.6,266.7,123.8,182.8,170.1,-,291.2,109.6,126.1,142.8,127.4,103.5,111.8,162.3,144.0
"2010. 05",180.0,318.2,151.0,493.6,646.5,424.5,830.1,471.2,471.1,189.3,158.9,271.0,121.6,181.1,172.3,-,293.0,108.2,130.6,147.4,130.8,106.6,110.6,166.5,138.9
"2010. 06",183.0,320.8,152.7,507.6,660.7,428.6,834.3,469.8,475.0,192.0,160.7,265.0,123.5,187.6,171.1,-,292.5,113.3,133.0,144.0,135.3,108.6,110.9,172.0,142.0
"2010. 07",181.3,317.3,150.7,507.6,627.6,424.8,818.8,483.5,464.6,194.6,159.0,266.2,116.7,197.3,175.8,-,287.3,110.4,131.8,143.8,130.4,110.4,112.7,169.5,147.7
"2010. 08",188.3,316.1,153.8,511.7,638.0,417.6,848.5,506.7,468.5,199.9,160.2,265.6,126.5,196.8,172.9,-,291.3,110.6,132.2,142.3,128.9,114.0,114.4,172.7,149.7
"2010. 09",198.5,319.9,158.8,494.2,615.9,422.3,839.0,480.9,476.6,200.3,162.5,266.8,127.1,200.1,184.5,-,294.5,113.5,134.6,143.3,135.9,111.0,113.4,183.2,145.9
