"가구주교육정도별","가계수지항목별","항목","단위","2002. 1/4","2002. 2/4","2002. 3/4","2002. 4/4","2003. 1/4","2003. 2/4","2003. 3/4","2003. 4/4","2004. 1/4","2004. 2/4","2004. 3/4","2004. 4/4","2005. 1/4","2005. 2/4","2005. 3/4","2005. 4/4","2006. 1/4","2006. 2/4","2006. 3/4","2006. 4/4","2007. 1/4","2007. 2/4","2007. 3/4","2007. 4/4","2008. 1/4","2008. 2/4","2008. 3/4","2008. 4/4","2009. 1/4","2009. 2/4","2009. 3/4","2009. 4/4","2010. 1/4","2010. 2/4","2010. 3/4","2010. 4/4","2011. 1/4","2011. 2/4","2011. 3/4","2011. 4/4","2012. 1/4","2012. 2/4","2012. 3/4","2012. 4/4","2013. 1/4","2013. 2/4","2013. 3/4","2013. 4/4","2014. 1/4","2014. 2/4","2014. 3/4","2014. 4/4","2015. 1/4","2015. 2/4","2015. 3/4","2015. 4/4","2016. 1/4","2016. 2/4","2016. 3/4","2016. 4/4","2017. 1/4","2017. 2/4","2017. 3/4","2017. 4/4","2018. 1/4","2018. 2/4","2018. 3/4","2018. 4/4","2019. 1/4","2019. 2/4","2019. 3/4","2019. 4/4",
"전체 평균","01.식료품 · 비주류음료","근로자외가구","원","255571.642","244633.697","287171.588","270575.592","251321.035","240066.933","283220.535","278548.415","262495.809","254231.363","312861.956","285485.181","274372.925","253663.883","300742.072","290943.194","279073.728","257926.468","280422.995","316823.993","277432.415","252883.703","304842.783","294326.256","289296.54","273051.333","331966.958","321075.916","281003.801","281030.977","311655.935","318830.053","292288.605","296266.118","348459.354","348662.902","320164.826","320151.213","375550.322","354989.64","333148.846","317903.804","379765.312","346120.509","322577.474","319430.783","359183.646","354744.154","329260.878","319193.998","359010.027","345847.114","335356.81","329001.374","366013.681","334588.542","333618.303","319045.556","354352.3","343034.502","","","","","","","","","","","","",
"전체 평균","02.주류 · 담배","전체가구","원","22998.058","23226.915","24596.735","21304.433","20808.451","21762.758","25193.681","23603.31","24826.536","25128.675","27716.672","25203.343","27317.747","27152.575","30453.615","27338.255","28827.686","28285.135","29512.033","30228.532","28620.86","27501.534","30226.603","27448.616","27980.266","27178.703","29356.935","26434.868","25153.573","25813.979","26983.631","26379.222","26096.828","27293.917","30007.778","26295.278","26382.277","26692.173","30194.871","28111.258","27478.326","27753.449","29576.797","26955.852","26668.493","27454.925","30219.599","26989.646","26490.46","26477.041","29155.728","26910.388","28144.103","32149.563","36073.113","34127.364","34586.164","34090.84","35905.31","32581.857","","","","","","","","","","","","",
"전체 평균","02.주류 · 담배","근로자가구","원","22726.568","23095.353","24868.555","21147.619","21097.012","22226.119","25487.624","24015.74","25178.563","25946.722","28233.985","25741.539","27264.794","27603.554","30476.332","26946.469","28759.899","28060.251","30287.232","30901.773","29365.117","27886.933","30728.25","27821.81","28164.479","26960.16","29359.945","26893.219","26233.718","27033.381","28386.878","27361.239","27696.555","28969.955","30462.293","26966.488","27092.91","27387.111","30479.909","28555.439","27083.963","27603.525","29200.669","27233.457","26845.137","27574.467","30726.914","27685.287","27150.711","27616.252","30798.714","28104.947","28317.125","33049.459","37263.747","35100.041","35138.254","34952.872","36947.452","33736.823","","","","","","","","","","","","",
"전체 평균","02.주류 · 담배","근로자외가구","원","23354.72","23401.742","24239.561","21508.94","20398.852","21070.949","24770.905","22987.986","24310.383","23895.628","26972.806","24411.376","27392.269","26481.256","30420.603","27909.124","28925.506","28625.92","28371.21","29246.635","27583.188","26936.721","29475.242","26897.29","27712.287","27507.401","29352.393","25729.234","23545.638","24001.368","24886.538","24852.552","23783.247","24667.239","29287.588","25275.434","25321.812","25605.028","29742.807","27391.338","28105.228","28002.192","30210.295","26491.456","26384.523","27251.715","29329.21","25771.042","25403.473","24459.686","26233.882","24758.634","27846.125","30534.48","33961.697","32372.065","33672.851","32577.857","34119.001","30630.907","","","","","","","","","","","","",
"전체 평균","03.의류 · 신발","전체가구","원","115721.815","113921.086","95495.754","124865.35","120359.151","118233.691","99553.706","133845.918","119088.57","121292.09","96440.034","131095.597","121269.442","126127.98","103358.908","142440.517","132021.65","128633.358","102077.313","149524.86","132047.271","135771.449","111311.289","152334.639","140649.025","143099.465","112983.548","149768.692","128429.515","135287.7","109079.607","164297.65","138202.93","151071.31","120005.678","184427.764","151389.128","157887.765","130313.178","195939.141","160926.726","172558.517","134327.431","206158.586","167123.5","172865.848","135308.329","210537.942","165055.281","177626.377","136890.365","201619.579","156380.817","171381.629","132080.89","192128.165","152470.882","166609.981","132686.17","181070.424","","","","","","","","","","","","",
"전체 평균","03.의류 · 신발","근로자가구","원","118292.099","117439.337","100284.297","131952.4","126219.577","122642.427","104705.841","138333.419","123628.999","124135.35","102134.065","133995.107","128729.186","131909.539","109882.398","150529.462","140590.664","134161.971","109424.096","158012.186","142836.39","144320.33","118960.528","165699.281","152925.539","158282.019","121850.258","161915.354","143039.622","148702.784","117581.665","174678.887","151131.15","160448.975","127566.331","196345.906","165948.209","169442.307","140500.461","214443.702","176855.254","186932.687","143917.437","223546.776","183894.813","190743.925","144604.642","229432.325","179238.04","193158.628","146342.716","218306.369","171082.287","182060.413","143404.514","207402.834","165054.419","179061.531","142932.122","198787.676","","","","","","","","","","","","",
"전체 평균","03.의류 · 신발","근로자외가구","원","112345.186","109245.827","89203.555","115622.835","112040.545","111651.327","92143.451","127150.798","112431.244","117006.426","88252.335","126828.904","110771.163","117521.686","93879.106","130654.157","119656.04","120255.416","91265.41","137146.422","117004.677","123242.849","99854.36","132590.877","122790.151","120264.178","99598.806","131068.807","106680.492","115346.504","96373.649","148158.701","119505.683","136374.682","108025.645","166319.218","129662.866","139812.081","114156.369","165947.331","135605.912","148709.897","118175.364","177070.39","140162.269","142475.137","118992.378","177439.356","141705.886","150121.318","120080.536","171561.741","131061.895","152215.946","112000.102","164563.416","131654.149","144755.847","115123.853","151142.708","","","","","","","","","","","","",
"전체 평균","04.주거 · 수도 · 광열","전체가구","원","196480.204","165514.542","144690.457","180912.317","202266.585","173522.685","143503.867","171389.251","210201.249","174812.48","154626.172","173133.927","226457.49","185834.348","159684.267","181032.756","236585.708","193336.974","172499.6","185591.453","236342.302","196664.237","168155.637","200553.492","254030.675","208120.719","177718.8","204648.721","255083.91","211802.546","180722.511","209478.132","287754.696","228223.199","191373.661","221422.273","297083.258","243065.178","202989.357","229061.904","317439.853","248227.766","215415.916","252366.022","326973.924","264995.74","229309.306","255824.348","323158.82","262229.034","226382.044","255557.408","340804.394","285053.291","241529.271","254657.659","327364.835","276861.317","247357.52","253577.645","","","","","","","","","","","","",
"전체 평균","04.주거 · 수도 · 광열","근로자가구","원","203857.512","172457.215","144700.398","181128.761","198656.189","173173.079","142202.969","171814.3","210203.115","176267.672","154974.295","175858.382","226095.973","186207.418","162800.376","179347.327","239105.315","199667.909","176339.409","186625.121","235460.385","193168.389","168688.279","199447.385","251649.714","209138.203","178482.643","208550.526","258929.934","209761.122","182659.528","213833.523","289158.087","225702.505","191247.331","219572.167","299019.667","245022.254","199108.775","232737.402","324465.315","255429.086","217555.556","247880.781","331563.244","268591.446","233222.526","257538.285","327858.029","268421.017","229675.072","257247.581","343529.372","281704.777","249467.314","263097.792","332421.791","273875.735","251070.135","259775.762","","","","","","","","","","","","",
"전체 평균","04.주거 · 수도 · 광열","근로자외가구","원","186788.502","156288.707","144677.395","180630.042","207391.378","174044.657","145374.934","170755.101","210198.512","172619.061","154125.592","169124.832","226966.261","185279.004","155156.002","183488.586","232949.763","183743.209","166848.74","184083.887","237571.904","201787.491","167357.854","202187.56","257494.304","206590.374","176565.741","198641.86","249358.609","214837.074","177827.722","202707.125","285725.062","232173.618","191573.832","224233.343","294193.587","240003.57","209143.876","223104.733","306271.813","236279.837","211812.204","259869.25","319596.224","258883.447","222441.218","252821.926","315422.405","251264.053","220525.803","252512.907","336111.428","291063.017","227452.315","239426.55","318999.199","282101.413","240993.824","243107.878","","","","","","","","","","","","",
"전체 평균","05.가정용품 · 가사서비스","전체가구","원","57802.813","63472.372","65670.278","65269.926","52657.265","60982.745","58519.498","67676.422","58445.779","56420.348","64887.24","72864.991","64370.507","70995.519","67797.9","70241.472","64498.903","67944.286","69222.527","79982.105","71146.886","76451.241","74904.171","89458.569","65492.011","75654.265","79310.933","80728.595","65376.014","72770.962","80380.209","93814.501","78735.375","82909.368","93223.869","101837.826","84109.585","89671.153","89705.608","95300.321","91640.116","93025.599","98108.962","96315.963","91778.07","98782.502","105188.471","107382.577","96669.224","107912.908","104402.765","108042.411","96117.493","107578.061","100112.871","114189.557","103170.715","104708.536","123650.369","110743.636","","","","","","","","","","","","",
"전체 평균","05.가정용품 · 가사서비스","근로자가구","원","63013.787","69768.321","63145.54","70894.097","52419.171","64765.784","60985.192","67726.586","58831.568","53323.511","67435.135","72035.928","71616.932","70854.327","72561.8","72816.341","68521.589","73340.985","74830.812","87187.176","75989.91","78136.347","80987.563","89072.395","71156.342","75009.505","82889.63","85203.51","70628.107","77796.556","84005.637","103395.247","88414.164","85504.738","99388.584","107233.127","92007.756","99198.383","93954.103","100662.031","100085.164","100716.954","103579.167","103442.077","102715.271","107062.056","110618.862","118445.256","107025.18","124968.049","117104.006","116549.616","109936.447","114595.604","107149.579","119646.258","113165.335","111356.686","126893.898","126728.713","","","","","","","","","","","","",
